Sample	Sex	popCode	popGroup
HG00500	M	CHS	EAS
HG00123	F	GBR	EUR
HG00403	M	CHS	EAS
HG00524	M	CHS	EAS
HG00154	F	GBR	EUR
HG00531	F	CHS	EAS
HG00533	M	CHS	EAS
HG00281	F	FIN	EUR
HG00542	M	CHS	EAS
HG00306	F	FIN	EUR
HG00554	F	PUR	AMR
HG00384	F	FIN	EUR
HG00313	F	FIN	EUR
HG00410	F	CHS	EAS
HG00404	F	CHS	EAS
HG00422	F	CHS	EAS
HG00409	M	CHS	EAS
HG00560	F	CHS	EAS
HG00437	F	CHS	EAS
HG00565	M	CHS	EAS
HG00379	F	FIN	EUR
HG00530	M	CHS	EAS
HG00428	F	CHS	EAS
HG00381	F	FIN	EUR
HG00584	F	CHS	EAS
HG00357	F	FIN	EUR
HG00442	M	CHS	EAS
HG00406	M	CHS	EAS
HG00589	M	CHS	EAS
HG00364	F	FIN	EUR
HG00264	M	GBR	EUR
HG00419	F	CHS	EAS
HG00369	M	FIN	EUR
HG00269	F	FIN	EUR
HG00449	F	CHS	EAS
HG00421	M	CHS	EAS
HG00371	M	FIN	EUR
HG00271	M	FIN	EUR
HG00451	M	CHS	EAS
HG00319	F	FIN	EUR
HG00276	F	FIN	EUR
HG00463	M	CHS	EAS
HG00534	F	CHS	EAS
HG00321	M	FIN	EUR
HG00288	F	FIN	EUR
HG00557	F	CHS	EAS
HG00553	M	PUR	AMR
HG00326	F	FIN	EUR
HG00290	M	FIN	EUR
HG00583	M	CHS	EAS
HG00445	M	CHS	EAS
HG00338	M	FIN	EUR
HG00324	F	FIN	EUR
HG00452	F	CHS	EAS
HG00345	M	FIN	EUR
HG00308	M	FIN	EUR
HG00329	M	FIN	EUR
HG00457	M	CHS	EAS
HG00282	F	FIN	EUR
HG00310	M	FIN	EUR
HG00331	F	FIN	EUR
HG00464	F	CHS	EAS
HG00358	M	FIN	EUR
HG00355	F	FIN	EUR
HG00360	M	FIN	EUR
HG00362	F	FIN	EUR
HG00596	F	CHS	EAS
HG00365	F	FIN	EUR
HG00367	F	FIN	EUR
HG00732	F	PUR	AMR
HG00372	M	FIN	EUR
HG00336	M	FIN	EUR
HG00611	F	CHS	EAS
HG00737	F	PUR	AMR
HG00339	F	FIN	EUR
HG00343	F	FIN	EUR
HG00382	M	FIN	EUR
HG00559	M	CHS	EAS
HG00341	M	FIN	EUR
HG00350	F	FIN	EUR
HG00407	F	CHS	EAS
HG00346	F	FIN	EUR
HG00742	M	PUR	AMR
HG00337	F	FIN	EUR
HG00566	F	CHS	EAS
HG00353	F	FIN	EUR
HG00759	F	CDX	EAS
HG00344	F	FIN	EUR
HG00315	F	FIN	EUR
HG00766	F	CDX	EAS
HG00349	F	FIN	EUR
HG00580	M	CHS	EAS
HG00327	F	FIN	EUR
HG00867	F	CDX	EAS
HG00351	M	FIN	EUR
HG00334	F	FIN	EUR
HG00879	F	CDX	EAS
HG00476	F	CHS	EAS
HG00693	F	CHS	EAS
HG00881	M	CDX	EAS
HG00356	F	FIN	EUR
HG00698	M	CHS	EAS
HG00956	F	CDX	EAS
HG00368	F	FIN	EUR
HG00701	M	CHS	EAS
HG00707	M	CHS	EAS
HG00982	M	CDX	EAS
HG00375	M	FIN	EUR
HG01029	F	CDX	EAS
HG00717	F	CHS	EAS
HG00662	M	CHS	EAS
HG00651	F	CHS	EAS
HG01031	M	CDX	EAS
HG00729	F	CHS	EAS
HG00674	M	CHS	EAS
HG00656	M	CHS	EAS
HG01048	M	PUR	AMR
HG00731	M	PUR	AMR
HG00631	M	CHS	EAS
HG00663	F	CHS	EAS
HG00736	M	PUR	AMR
HG00675	F	CHS	EAS
HG01055	F	PUR	AMR
HG00650	M	CHS	EAS
HG00536	M	CHS	EAS
HG00704	M	CHS	EAS
HG01049	F	PUR	AMR
HG00543	F	CHS	EAS
HG01051	M	PUR	AMR
HG00629	F	CHS	EAS
HG00728	M	CHS	EAS
HG00592	M	CHS	EAS
HG00699	F	CHS	EAS
HG00692	M	CHS	EAS
HG00613	M	CHS	EAS
HG00653	M	CHS	EAS
HG00705	F	CHS	EAS
HG01052	F	PUR	AMR
HG00620	F	CHS	EAS
HG01063	M	PUR	AMR
HG00864	F	CDX	EAS
HG00625	M	CHS	EAS
HG00672	F	CHS	EAS
HG01259	M	CLM	AMR
HG00684	F	CHS	EAS
HG01070	F	PUR	AMR
HG00740	F	PUR	AMR
HG00689	M	CHS	EAS
HG01075	M	PUR	AMR
HG00978	F	CDX	EAS
HG00623	F	CHS	EAS
HG00590	F	CHS	EAS
HG00628	M	CHS	EAS
HG01280	M	CLM	AMR
HG00595	M	CHS	EAS
HG01204	M	PUR	AMR
HG00581	F	CHS	EAS
HG00608	F	CHS	EAS
HG01242	F	PUR	AMR
HG00632	F	CHS	EAS
HG00610	M	CHS	EAS
HG01247	M	PUR	AMR
HG00637	M	PUR	AMR
HG00634	M	CHS	EAS
HG01082	M	PUR	AMR
HG01254	F	CLM	AMR
HG00593	F	CHS	EAS
HG01177	F	PUR	AMR
HG00598	M	CHS	EAS
HG00641	F	PUR	AMR
HG01094	M	PUR	AMR
HG01200	M	PUR	AMR
HG00654	F	CHS	EAS
HG01205	F	PUR	AMR
HG00622	M	CHS	EAS
HG01191	F	PUR	AMR
HG00743	F	PUR	AMR
HG01083	F	PUR	AMR
HG01248	F	PUR	AMR
HG00844	M	CDX	EAS
HG01088	M	PUR	AMR
HG01250	M	CLM	AMR
HG01067	F	PUR	AMR
HG00851	F	CDX	EAS
HG01095	F	PUR	AMR
HG01142	M	CLM	AMR
HG01334	M	GBR	EUR
HG01102	F	PUR	AMR
HG01161	M	PUR	AMR
HG01341	M	CLM	AMR
HG01107	M	PUR	AMR
HG01108	F	PUR	AMR
HG01173	M	PUR	AMR
HG01110	M	PUR	AMR
HG01046	F	CDX	EAS
HG01353	M	CLM	AMR
HG01119	F	CLM	AMR
HG01122	F	CLM	AMR
HG01098	F	PUR	AMR
HG01176	M	PUR	AMR
HG01134	F	CLM	AMR
HG01058	F	PUR	AMR
HG01101	M	PUR	AMR
HG01183	F	PUR	AMR
HG01139	M	CLM	AMR
HG01060	M	PUR	AMR
HG01188	F	PUR	AMR
HG01064	F	PUR	AMR
HG01072	M	PUR	AMR
HG01113	F	CLM	AMR
HG01190	M	PUR	AMR
HG01069	M	PUR	AMR
HG01077	F	PUR	AMR
HG01257	F	CLM	AMR
HG01269	F	CLM	AMR
HG01121	M	CLM	AMR
HG01305	M	PUR	AMR
HG01271	M	CLM	AMR
HG01312	F	PUR	AMR
HG01281	F	CLM	AMR
HG01133	M	CLM	AMR
HG01104	M	PUR	AMR
HG01149	F	CLM	AMR
HG01168	F	PUR	AMR
HG01140	F	CLM	AMR
HG01111	F	PUR	AMR
HG01170	M	PUR	AMR
HG01303	F	PUR	AMR
HG01260	F	CLM	AMR
HG01348	F	CLM	AMR
HG01308	M	PUR	AMR
HG01272	F	CLM	AMR
HG01350	M	CLM	AMR
HG01197	M	PUR	AMR
HG01277	M	CLM	AMR
HG01284	F	CLM	AMR
HG01413	M	PUR	AMR
HG01089	F	PUR	AMR
HG01311	M	PUR	AMR
HG01432	F	CLM	AMR
HG01182	M	PUR	AMR
HG01323	F	PUR	AMR
HG01437	M	CLM	AMR
HG01187	M	PUR	AMR
HG01359	M	CLM	AMR
HG01494	M	CLM	AMR
HG01130	M	CLM	AMR
HG01079	M	PUR	AMR
HG01366	F	CLM	AMR
HG01488	M	CLM	AMR
HG01086	F	PUR	AMR
HG01342	F	CLM	AMR
HG01125	F	CLM	AMR
HG01393	F	PUR	AMR
HG01495	F	CLM	AMR
HG01137	F	CLM	AMR
HG01354	F	CLM	AMR
HG01398	M	PUR	AMR
HG01503	M	IBS	EUR
HG01164	M	PUR	AMR
HG01362	M	CLM	AMR
HG01414	F	PUR	AMR
HG01377	M	CLM	AMR
HG01171	F	PUR	AMR
HG01374	M	CLM	AMR
HG01438	F	CLM	AMR
HG01384	F	CLM	AMR
HG01241	M	PUR	AMR
HG01444	F	CLM	AMR
HG01440	M	CLM	AMR
HG01389	M	CLM	AMR
HG01253	M	CLM	AMR
HG01456	F	CLM	AMR
HG01344	M	CLM	AMR
HG01525	F	IBS	EUR
HG01396	F	PUR	AMR
HG01507	F	IBS	EUR
HG01351	F	CLM	AMR
HG01524	M	IBS	EUR
HG01537	F	IBS	EUR
HG01356	M	CLM	AMR
HG01551	F	CLM	AMR
HG01519	F	IBS	EUR
HG01531	F	IBS	EUR
HG01378	F	CLM	AMR
HG01521	M	IBS	EUR
HG01536	M	IBS	EUR
HG01550	M	CLM	AMR
HG01392	M	PUR	AMR
HG01464	M	CLM	AMR
HG01468	F	CLM	AMR
HG01447	F	CLM	AMR
HG01506	M	IBS	EUR
HG01510	F	IBS	EUR
HG01513	F	IBS	EUR
HG01515	M	IBS	EUR
HG01459	F	CLM	AMR
HG01518	M	IBS	EUR
HG01286	M	PUR	AMR
HG01461	M	CLM	AMR
HG01571	M	PEL	AMR
HG01599	F	KHV	EAS
HG01583	M	PJL	SAS
HG01325	M	PUR	AMR
HG01602	F	IBS	EUR
HG01363	F	CLM	AMR
HG01586	M	PJL	SAS
HG01607	F	IBS	EUR
HG01595	F	KHV	EAS
HG01375	F	CLM	AMR
HG01593	F	PJL	SAS
HG01603	M	IBS	EUR
HG01498	F	CLM	AMR
HG01608	M	IBS	EUR
HG01402	M	PUR	AMR
HG01360	F	CLM	AMR
HG01501	F	IBS	EUR
HG01610	M	IBS	EUR
HG01365	M	CLM	AMR
HG01474	F	CLM	AMR
HG01704	F	IBS	EUR
HG01372	F	CLM	AMR
HG01479	M	CLM	AMR
HG01709	M	IBS	EUR
HG01565	M	PEL	AMR
HG01492	F	CLM	AMR
HG01572	F	PEL	AMR
HG01497	M	CLM	AMR
HG01486	F	CLM	AMR
HG01747	M	IBS	EUR
HG01577	M	PEL	AMR
HG01500	M	IBS	EUR
HG01443	M	CLM	AMR
HG01761	M	IBS	EUR
HG01589	M	PJL	SAS
HG01455	M	CLM	AMR
HG01766	F	IBS	EUR
HG01596	M	KHV	EAS
HG01462	F	CLM	AMR
HG01773	F	IBS	EUR
HG01405	M	PUR	AMR
HG01615	M	IBS	EUR
HG01485	M	CLM	AMR
HG01412	M	PUR	AMR
HG01431	M	CLM	AMR
HG01678	M	IBS	EUR
HG01556	M	CLM	AMR
HG01680	M	IBS	EUR
HG01435	F	CLM	AMR
HG01685	F	IBS	EUR
HG01777	M	IBS	EUR
HG01785	M	IBS	EUR
HG01697	F	IBS	EUR
HG01512	M	IBS	EUR
HG01784	F	IBS	EUR
HG01797	F	CDX	EAS
HG01700	M	IBS	EUR
HG01789	M	GBR	EUR
HG01800	F	CDX	EAS
HG01705	M	IBS	EUR
HG01776	F	IBS	EUR
HG01791	M	GBR	EUR
HG01805	F	CDX	EAS
HG01783	M	IBS	EUR
HG01796	F	CDX	EAS
HG01812	F	CDX	EAS
HG01790	F	GBR	EUR
HG01672	M	IBS	EUR
HG01779	F	IBS	EUR
HG01795	F	CDX	EAS
HG01619	M	IBS	EUR
HG01781	M	IBS	EUR
HG01613	F	IBS	EUR
HG01684	F	IBS	EUR
HG01786	F	IBS	EUR
HG01618	F	IBS	EUR
HG01626	F	IBS	EUR
HG01762	F	IBS	EUR
HG01620	F	IBS	EUR
HG01874	F	KHV	EAS
HG01767	M	IBS	EUR
HG01625	M	IBS	EUR
HG01708	M	IBS	EUR
HG01879	M	ACB	AFR
HG01682	M	IBS	EUR
HG01710	F	IBS	EUR
HG01628	F	IBS	EUR
HG01746	F	IBS	EUR
HG01886	F	ACB	AFR
HG01630	M	IBS	EUR
HG01694	M	IBS	EUR
HG01893	F	PEL	AMR
HG01673	F	IBS	EUR
HG01699	M	IBS	EUR
HG01669	M	IBS	EUR
HG01522	F	IBS	EUR
HG01598	F	KHV	EAS
HG01918	F	PEL	AMR
HG01527	M	IBS	EUR
HG01676	F	IBS	EUR
HG01920	M	PEL	AMR
HG01606	M	IBS	EUR
HG01816	M	CDX	EAS
HG01623	F	IBS	EUR
HG01632	F	IBS	EUR
HG01842	M	KHV	EAS
HG01982	M	PEL	AMR
HG01976	F	PEL	AMR
HG01668	F	IBS	EUR
HG01847	F	KHV	EAS
HG01670	F	IBS	EUR
HG01956	F	ACB	AFR
HG01988	M	ACB	AFR
HG01675	M	IBS	EUR
HG01695	F	IBS	EUR
HG01968	F	PEL	AMR
HG01990	M	ACB	AFR
HG01757	F	IBS	EUR
HG01765	M	IBS	EUR
HG01970	M	PEL	AMR
HG01938	M	PEL	AMR
HG01859	F	KHV	EAS
HG01932	M	PEL	AMR
HG01945	F	PEL	AMR
HG01771	M	IBS	EUR
HG01861	M	KHV	EAS
HG01815	F	CDX	EAS
HG01866	M	KHV	EAS
HG01944	M	PEL	AMR
HG01894	F	ACB	AFR
HG01841	F	KHV	EAS
HG01804	F	CDX	EAS
HG01914	M	ACB	AFR
HG01846	M	KHV	EAS
HG01809	F	CDX	EAS
HG01951	F	PEL	AMR
HG01702	F	IBS	EUR
HG01811	M	CDX	EAS
HG01817	F	CDX	EAS
HG01921	F	PEL	AMR
HG01707	F	IBS	EUR
HG01843	F	KHV	EAS
HG01926	M	PEL	AMR
HG01808	F	CDX	EAS
HG01848	F	KHV	EAS
HG01933	F	PEL	AMR
HG01810	M	CDX	EAS
HG01850	F	KHV	EAS
HG01992	F	PEL	AMR
HG02009	M	ACB	AFR
HG01855	F	KHV	EAS
HG01971	F	PEL	AMR
HG01997	F	PEL	AMR
HG01862	F	KHV	EAS
HG01798	F	CDX	EAS
HG02003	F	PEL	AMR
HG01892	M	PEL	AMR
HG01867	M	KHV	EAS
HG01801	F	CDX	EAS
HG02008	M	PEL	AMR
HG02012	F	ACB	AFR
HG01806	F	CDX	EAS
HG02010	F	ACB	AFR
HG01912	M	ACB	AFR
HG02017	M	KHV	EAS
HG01813	F	CDX	EAS
HG01954	F	PEL	AMR
HG01917	M	PEL	AMR
HG01882	M	ACB	AFR
HG02035	M	KHV	EAS
HG02029	M	KHV	EAS
HG01961	M	PEL	AMR
HG02047	M	KHV	EAS
HG02031	F	KHV	EAS
HG01844	M	KHV	EAS
HG01973	F	PEL	AMR
HG02054	F	ACB	AFR
HG02182	F	CDX	EAS
HG01849	M	KHV	EAS
HG01872	M	KHV	EAS
HG02187	F	CDX	EAS
HG01851	F	KHV	EAS
HG01873	M	KHV	EAS
HG02219	M	IBS	EUR
HG01863	F	KHV	EAS
HG01889	F	ACB	AFR
HG01878	F	KHV	EAS
HG02221	M	IBS	EUR
HG01868	F	KHV	EAS
HG01880	F	ACB	AFR
HG02137	M	KHV	EAS
HG01870	F	KHV	EAS
HG01980	F	PEL	AMR
HG01885	M	ACB	AFR
HG02144	F	ACB	AFR
HG02188	F	CDX	EAS
HG01985	F	ACB	AFR
HG01979	M	PEL	AMR
HG02151	F	CDX	EAS
HG02190	F	CDX	EAS
HG01923	M	PEL	AMR
HG02081	F	KHV	EAS
HG02215	F	GBR	EUR
HG01986	M	ACB	AFR
HG02086	F	KHV	EAS
HG01935	M	PEL	AMR
HG02016	F	KHV	EAS
HG02107	M	ACB	AFR
HG02023	M	KHV	EAS
HG02233	M	IBS	EUR
HG02121	F	KHV	EAS
HG01896	F	ACB	AFR
HG02028	F	KHV	EAS
HG02238	M	IBS	EUR
HG02133	F	KHV	EAS
HG01853	F	KHV	EAS
HG02252	F	PEL	AMR
HG01858	F	KHV	EAS
HG01948	F	PEL	AMR
HG02048	F	KHV	EAS
HG02020	M	KHV	EAS
HG01860	M	KHV	EAS
HG01950	M	PEL	AMR
HG02050	M	KHV	EAS
HG02025	F	KHV	EAS
HG01865	M	KHV	EAS
HG02032	M	KHV	EAS
HG01942	F	PEL	AMR
HG01967	M	PEL	AMR
HG02067	M	KHV	EAS
HG02138	M	KHV	EAS
HG01947	M	PEL	AMR
HG01974	M	PEL	AMR
HG02140	F	KHV	EAS
HG01924	F	PEL	AMR
HG02079	M	KHV	EAS
HG01936	F	PEL	AMR
HG02113	F	KHV	EAS
HG02049	F	KHV	EAS
HG02224	M	IBS	EUR
HG02136	F	KHV	EAS
HG02051	M	ACB	AFR
HG02143	M	ACB	AFR
HG02231	M	IBS	EUR
HG02156	F	CDX	EAS
HG02082	M	KHV	EAS
HG02236	M	IBS	EUR
HG02150	M	PEL	AMR
HG02087	F	KHV	EAS
HG02250	M	CDX	EAS
HG02061	M	KHV	EAS
HG02102	F	PEL	AMR
HG02084	F	KHV	EAS
HG02073	M	KHV	EAS
HG02089	F	PEL	AMR
HG02078	F	KHV	EAS
HG02485	F	ACB	AFR
HG02070	M	KHV	EAS
HG02075	F	KHV	EAS
HG02104	M	PEL	AMR
HG02186	F	CDX	EAS
HG02497	F	ACB	AFR
HG02111	F	ACB	AFR
HG02322	F	ACB	AFR
HG02006	F	PEL	AMR
HG02116	M	KHV	EAS
HG02220	F	IBS	EUR
HG02334	M	ACB	AFR
HG02013	M	ACB	AFR
HG02128	M	KHV	EAS
HG02085	M	KHV	EAS
HG02339	F	ACB	AFR
HG02152	F	CDX	EAS
HG02130	F	KHV	EAS
HG02105	F	PEL	AMR
HG02353	M	CDX	EAS
HG02164	F	CDX	EAS
HG02255	M	ACB	AFR
HG02282	F	ACB	AFR
HG02262	M	PEL	AMR
HG02308	F	ACB	AFR
HG02315	F	ACB	AFR
HG02274	M	PEL	AMR
HG02232	F	IBS	EUR
HG02260	F	PEL	AMR
HG02360	M	CDX	EAS
HG02265	M	PEL	AMR
HG02142	F	KHV	EAS
HG02256	F	ACB	AFR
HG02272	F	PEL	AMR
HG02147	F	PEL	AMR
HG02275	F	PEL	AMR
HG02450	F	ACB	AFR
HG02409	M	CDX	EAS
HG02455	M	ACB	AFR
HG02053	M	ACB	AFR
HG02131	M	KHV	EAS
HG02462	F	GWD	AFR
HG02058	M	KHV	EAS
HG02155	F	CDX	EAS
HG02442	M	ACB	AFR
HG02277	M	PEL	AMR
HG02060	F	KHV	EAS
HG02179	F	CDX	EAS
HG02461	M	GWD	AFR
HG02284	M	ACB	AFR
HG02072	F	KHV	EAS
HG02181	F	CDX	EAS
HG02291	M	PEL	AMR
HG02299	M	PEL	AMR
HG02304	M	PEL	AMR
HG02154	F	CDX	EAS
HG02309	F	ACB	AFR
HG02166	F	CDX	EAS
HG02307	M	ACB	AFR
HG02271	M	PEL	AMR
HG02314	M	ACB	AFR
HG02178	F	CDX	EAS
HG02283	M	ACB	AFR
HG02239	F	IBS	EUR
HG02180	F	CDX	EAS
HG02408	M	CDX	EAS
HG02253	M	PEL	AMR
HG02185	F	CDX	EAS
HG02410	M	CDX	EAS
HG02384	M	CDX	EAS
HG02373	M	CDX	EAS
HG02389	M	CDX	EAS
HG02380	M	CDX	EAS
HG02325	F	ACB	AFR
HG02427	F	ACB	AFR
HG02391	M	CDX	EAS
HG02332	M	ACB	AFR
HG02439	M	ACB	AFR
HG02396	M	CDX	EAS
HG02429	M	ACB	AFR
HG02337	F	ACB	AFR
HG02484	M	ACB	AFR
HG02489	M	ACB	AFR
HG02675	M	GWD	AFR
HG02323	M	ACB	AFR
HG02351	M	CDX	EAS
HG02491	F	PJL	SAS
HG02682	F	PJL	SAS
HG02330	M	ACB	AFR
HG02356	M	CDX	EAS
HG02496	M	ACB	AFR
HG02687	M	PJL	SAS
HG02505	F	ACB	AFR
HG02385	M	CDX	EAS
HG02281	M	ACB	AFR
HG02554	M	ACB	AFR
HG02512	M	KHV	EAS
HG02392	M	CDX	EAS
HG02286	F	PEL	AMR
HG02397	M	CDX	EAS
HG02561	M	GWD	AFR
HG02536	M	ACB	AFR
HG02479	F	ACB	AFR
HG02445	M	ACB	AFR
HG02511	F	ACB	AFR
HG02721	M	GWD	AFR
HG02481	M	ACB	AFR
HG02464	M	GWD	AFR
HG02471	F	ACB	AFR
HG02733	M	PJL	SAS
HG02493	M	PJL	SAS
HG02476	F	ACB	AFR
HG02390	M	CDX	EAS
HG02601	F	PJL	SAS
HG02501	M	ACB	AFR
HG02298	F	PEL	AMR
HG02395	M	CDX	EAS
HG02613	M	GWD	AFR
HG02688	F	PJL	SAS
HG02301	F	PEL	AMR
HG02364	M	CDX	EAS
HG02620	M	GWD	AFR
HG02690	M	PJL	SAS
HG02318	F	ACB	AFR
HG02371	M	CDX	EAS
HG02694	F	PJL	SAS
HG02703	F	GWD	AFR
HG02508	F	ACB	AFR
HG02383	M	CDX	EAS
HG02699	M	PJL	SAS
HG02715	M	GWD	AFR
HG02522	F	KHV	EAS
HG02465	F	GWD	AFR
HG02702	M	GWD	AFR
HG02549	F	ACB	AFR
HG02541	M	ACB	AFR
HG02477	F	ACB	AFR
HG02555	F	ACB	AFR
HG02345	F	PEL	AMR
HG02562	F	GWD	AFR
HG02568	F	GWD	AFR
HG02394	M	CDX	EAS
HG02737	F	PJL	SAS
HG02570	M	GWD	AFR
HG02399	M	CDX	EAS
HG02756	M	GWD	AFR
HG02649	F	PJL	SAS
HG02402	M	CDX	EAS
HG02763	F	GWD	AFR
HG02651	M	PJL	SAS
HG02768	M	GWD	AFR
HG02614	F	GWD	AFR
HG02375	M	CDX	EAS
HG02574	F	GWD	AFR
HG02513	F	KHV	EAS
HG02382	M	CDX	EAS
HG02667	F	GWD	AFR
HG02586	F	GWD	AFR
HG02407	M	CDX	EAS
HG02679	F	GWD	AFR
HG02537	F	ACB	AFR
HG02419	F	ACB	AFR
HG02681	M	PJL	SAS
HG02433	M	ACB	AFR
HG02582	M	GWD	AFR
HG02490	M	PJL	SAS
HG02597	M	PJL	SAS
HG02757	F	GWD	AFR
HG02600	M	PJL	SAS
HG02594	M	GWD	AFR
HG02666	M	GWD	AFR
HG02769	F	GWD	AFR
HG02676	F	GWD	AFR
HG02678	M	GWD	AFR
HG02771	M	GWD	AFR
HG02648	M	PJL	SAS
HG02884	M	GWD	AFR
HG02652	F	PJL	SAS
HG02685	F	PJL	SAS
HG02657	M	PJL	SAS
HG02623	M	GWD	AFR
HG02655	F	PJL	SAS
HG02891	F	GWD	AFR
HG02621	F	GWD	AFR
HG02628	M	GWD	AFR
HG02896	F	GWD	AFR
HG02645	M	GWD	AFR
HG02624	F	GWD	AFR
HG02923	M	ESN	AFR
HG02635	F	GWD	AFR
HG02629	F	GWD	AFR
HG02804	M	GWD	AFR
HG02642	M	GWD	AFR
HG03015	M	PJL	SAS
HG02643	F	GWD	AFR
HG03022	F	PJL	SAS
HG02811	F	GWD	AFR
HG02654	M	PJL	SAS
HG02573	M	GWD	AFR
HG03027	M	GWD	AFR
HG02722	F	GWD	AFR
HG02580	F	ACB	AFR
HG02727	M	PJL	SAS
HG02661	F	PJL	SAS
HG02585	M	GWD	AFR
HG02783	M	PJL	SAS
HG02734	F	PJL	SAS
HG02775	F	PJL	SAS
HG02854	M	GWD	AFR
HG02724	M	PJL	SAS
HG02787	F	PJL	SAS
HG02790	F	PJL	SAS
HG02861	F	GWD	AFR
HG02725	F	PJL	SAS
HG02878	M	GWD	AFR
HG02731	F	PJL	SAS
HG02839	M	GWD	AFR
HG02885	F	GWD	AFR
HG02604	F	PJL	SAS
HG02814	F	GWD	AFR
HG02611	F	GWD	AFR
HG02819	M	GWD	AFR
HG02947	M	ESN	AFR
HG02577	F	ACB	AFR
HG02840	F	GWD	AFR
HG02808	F	GWD	AFR
HG02760	F	GWD	AFR
HG02589	F	GWD	AFR
HG02852	F	GWD	AFR
HG02810	M	GWD	AFR
HG02772	F	GWD	AFR
HG02973	M	ESN	AFR
HG02974	F	ESN	AFR
HG02697	F	PJL	SAS
HG03040	F	GWD	AFR
HG02979	F	ESN	AFR
HG02700	F	PJL	SAS
HG03045	M	GWD	AFR
HG02981	M	ESN	AFR
HG02736	M	PJL	SAS
HG03052	F	MSL	AFR
HG02784	F	PJL	SAS
HG03007	F	BEB	SAS
HG02860	M	GWD	AFR
HG02789	M	PJL	SAS
HG02546	F	ACB	AFR
HG03019	F	PJL	SAS
HG02943	F	ESN	AFR
HG02558	F	ACB	AFR
HG03021	M	PJL	SAS
HG03212	F	MSL	AFR
HG02813	M	GWD	AFR
HG03224	M	MSL	AFR
HG02816	M	GWD	AFR
HG02888	F	GWD	AFR
HG03229	F	PJL	SAS
HG03054	M	MSL	AFR
HG02820	F	GWD	AFR
HG02890	M	GWD	AFR
HG02837	F	GWD	AFR
HG02895	M	GWD	AFR
HG03061	F	MSL	AFR
HG02851	M	GWD	AFR
HG02922	F	ESN	AFR
HG03039	M	GWD	AFR
HG03066	M	MSL	AFR
HG03006	M	BEB	SAS
HG03073	F	MSL	AFR
HG03018	M	PJL	SAS
HG02799	F	GWD	AFR
HG03046	F	GWD	AFR
HG03100	M	ESN	AFR
HG03025	F	GWD	AFR
HG02807	M	GWD	AFR
HG03105	F	ESN	AFR
HG03112	M	ESN	AFR
HG02971	M	ESN	AFR
HG02941	M	ESN	AFR
